MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.009766	s	2/4/2020 10:21:33 AM
Axial Displacement	Axial Force	Time	Axial Extensometer
mm	N	s	mm
-0.0013612211	256.54211	0.018554688	-0.0004166337
-0.00067725778	255.32103	0.028320313	-0.00040193772
-0.00054091215	257.57333	0.038085938	-0.00042827087
-0.00038221478	256.95819	0.047851563	-0.00042584943
-0.00025480986	261.42935	0.057617188	-0.00045354464
-0.00044927001	261.00757	0.067382813	-0.00044552944
-0.00093430281	268.67575	0.077148438	-0.00039697625
7.8231096e-05	267.32941	0.086914063	-0.0004053567
-0.00051409006	292.74704	0.096679688	-0.00036448182
0.0011645257	334.54877	0.10644531	-0.0001247241
0.0031225383	420.77411	0.11621094	9.0212416e-05
0.0034220517	520.58905	0.12597656	0.00036187776
0.0065200031	639.50031	0.13574219	0.0008037088
0.0089049339	761.73779	0.14550781	0.0011763794
0.011553615	882.45813	0.15527344	0.0016084213
0.012630969	997.0553	0.16503906	0.001884635
0.01418218	1111.4164	0.17480469	0.0022403786
0.016676635	1215.2775	0.18457031	0.0025726135
0.02015233	1328.7427	0.19433594	0.0028626672
0.020226091	1430.4966	0.20410156	0.0032009664
0.022722781	1535.4113	0.21386719	0.0035449518
0.024468452	1627.5747	0.22363281	0.0037500854
0.026670098	1719.9176	0.23339844	0.0040568844
0.027512759	1806.8865	0.24316406	0.0044130082
0.028366596	1899.2842	0.25292969	0.0046523032
0.030516833	1983.8524	0.26269531	0.0049555232
0.032363087	2078.1389	0.27246094	0.0051773647
0.033413619	2162.585	0.28222656	0.0054589361
0.035758317	2252.2063	0.29199219	0.0057698754
0.037957728	2335.4956	0.30175781	0.0059660547
0.038534403	2422.6047	0.31152344	0.0062925485
0.041232258	2503.7876	0.32128906	0.006621426
0.042394549	2586.0024	0.33105469	0.0067479732
0.044509023	2664.4297	0.34082031	0.0070299413
0.044732541	2750.9885	0.35058594	0.0072568939
0.047193468	2825.5317	0.36035156	0.0074662906
0.048467517	2911.957	0.37011719	0.0077984231
0.05017072	2989.2222	0.37988281	0.0080041606
0.052790344	3072.9839	0.38964844	0.0082595358
0.053192675	3145.5549	0.39941406	0.0084923496
0.054457784	3227.7375	0.40917969	0.0087529216
0.056413561	3302.467	0.41894531	0.0089889271
0.057041645	3380.4392	0.42871094	0.0092054801
0.059448928	3456.9922	0.43847656	0.0094863838
0.061547756	3536.0361	0.44824219	0.0098132007
0.062408298	3612.814	0.45800781	0.01001671
0.063626468	3694.3569	0.46777344	0.010242792
0.065676123	3766.9893	0.47753906	0.010492559
0.066532195	3854.3823	0.48730469	0.010734599
0.068315864	3918.146	0.49707031	0.010978684
0.068946183	4002.5891	0.50683594	0.011149947
0.071621686	4079.99	0.51660156	0.011396102
0.072922558	4165.7222	0.52636719	0.011719312
0.074516237	4240.085	0.53613281	0.011948107
0.075562298	4318.7314	0.54589844	0.012105672
0.077851117	4390.3989	0.55566406	0.012405439
0.079543144	4477.1001	0.56542969	0.012704059
0.080680847	4550.8599	0.57519531	0.012935834
0.081344694	4634.501	0.58496094	0.013215249
0.083273649	4707.9951	0.59472656	0.013447119
0.084983557	4792.1724	0.60449219	0.013683111
0.087482482	4867.7886	0.61425781	0.013964695
0.088117272	4951.229	0.62402344	0.014159445
0.090108812	5027.2075	0.63378906	0.014461912
0.091601908	5114.7603	0.64355469	0.014683419
0.092547387	5188.6685	0.65332031	0.014953441
0.094724447	5278.1353	0.66308594	0.015090955
0.096414238	5356.2378	0.67285156	0.015382687
0.09804368	5444.4736	0.68261719	0.015743887
0.099677593	5521.8608	0.69238281	0.015863102
0.10187477	5610.2832	0.70214844	0.016290141
0.10311306	5696.7949	0.71191406	0.016481468
0.10495707	5793.7344	0.72167969	0.016835386
0.10566115	5879.3408	0.73144531	0.017091863
0.10904074	5977.6572	0.74121094	0.017382173
0.1110211	6065.7891	0.75097656	0.017578173
