MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.009766	s	2/4/2020 10:11:24 AM
Axial Displacement	Axial Force	Time	Axial Extensometer
mm	N	s	mm
-0.0010550022	232.36871	0.018554688	-0.00032720855
-0.00067949295	228.21361	0.028320313	-0.00034298428
-0.00032410026	229.37218	0.038085938	-0.00032235694
-0.00035762787	228.10011	0.047851563	-0.0003855057
-0.00029727817	230.87778	0.057617188	-0.00031790987
-0.0012628734	241.67763	0.067382813	-0.00026773123
0.00071972609	245.60048	0.077148438	-0.00025841728
0.00015422702	261.43692	0.086914063	-0.00030465308
-0.00059008598	284.91998	0.096679688	-0.0001523149
0.0012226403	321.22867	0.10644531	-1.5636761e-05
0.0017523766	376.33954	0.11621094	0.00010239164
0.0040613115	456.05423	0.12597656	0.00028478171
0.0053264201	551.44263	0.13574219	0.00061645842
0.0067345798	661.52313	0.14550781	0.00089111854
0.009034574	770.13464	0.15527344	0.0012741089
0.010364503	888.7204	0.16503906	0.0015852675
0.012364984	1005.3286	0.17480469	0.0018901097
0.01411289	1117.9883	0.18457031	0.0022635169
0.016804039	1230.1884	0.19433594	0.0024617636
0.018469244	1343.0082	0.20410156	0.002891659
0.021164864	1447.662	0.21386719	0.0031801115
0.021636486	1557.1047	0.22363281	0.0035520033
0.024620444	1659.0054	0.23339844	0.0037888244
0.027351826	1762.0073	0.24316406	0.0041412241
0.027848035	1864.017	0.25292969	0.0045118164
0.029005855	1963.9347	0.26269531	0.0047599142
0.031591952	2064.5061	0.27246094	0.0050994828
0.033402443	2159.1772	0.28222656	0.0054779057
0.034122169	2249.8235	0.29199219	0.0056456435
0.035409629	2334.4224	0.30175781	0.0059861485
0.037441403	2419.7927	0.31152344	0.0062367795
0.039093196	2499.7754	0.32128906	0.0064704567
0.040168315	2583.6365	0.33105469	0.0067271055
0.041605532	2661.2427	0.34082031	0.0069092014
0.043340027	2745.7744	0.35058594	0.0072386526
0.045700371	2827.6526	0.36035156	0.0074717971
0.046652555	2909.1477	0.37011719	0.00771175
0.047488511	3002.2097	0.37988281	0.0079642273
0.04940629	3085.9519	0.38964844	0.0082676644
0.05030483	3172.3684	0.39941406	0.0086103557
0.052969158	3256.8389	0.40917969	0.0088397302
0.053606182	3340.26	0.41894531	0.0090529229
0.054305792	3428.7	0.42871094	0.0093802921
0.057745725	3518.262	0.43847656	0.009711518
0.058780611	3604.908	0.44824219	0.0099025872
0.059940666	3697.5933	0.45800781	0.010281516
0.06300509	3783.6633	0.46777344	0.010562126
0.064567477	3880.2917	0.47753906	0.010913949
0.066156685	3965.5547	0.48730469	0.011216352
0.067444146	4050.6941	0.49707031	0.011395083
0.067180395	4135.6948	0.50683594	0.011608752
0.070095062	4222.2485	0.51660156	0.012010863
0.072437525	4305.2036	0.52636719	0.012224965
0.073421001	4396.2163	0.53613281	0.012615805
0.07507503	4485.7012	0.54589844	0.012886798
0.077976286	4574.1836	0.55566406	0.013163044
0.078798831	4661.1157	0.56542969	0.013523084
0.081074238	4744.5977	0.57519531	0.013797796
0.083523989	4824.813	0.58496094	0.013974016
0.083836913	4906.3188	0.59472656	0.014302315
0.085817277	4985.2461	0.60449219	0.014549113
0.086916983	5068.1328	0.61425781	0.014917002
0.089000165	5140.9414	0.62402344	0.015129829
0.090037286	5228.3242	0.63378906	0.015359877
0.090897828	5306.0649	0.64355469	0.015678879
0.09316206	5390.1152	0.65332031	0.015982447
0.09528324	5469.8745	0.66308594	0.016302429
0.097442418	5549.5889	0.67285156	0.016580632
0.09829402	5628.9971	0.68261719	0.016976831
0.099619478	5715.6123	0.69238281	0.017152198
0.10154173	5788.9458	0.70214844	0.017460058
0.10375008	5879.5718	0.71191406	0.017884752
0.1056008	5961.5488	0.72167969	0.018064588
0.10556951	6048.7524	0.73144531	0.018404111
0.10819361	6131.5381	0.74121094	0.018716225
0.11096299	6220.1196	0.75097656	0.019012509
0.11228621	6305.6978	0.76074219	0.019311039
0.11370331	6396.9917	0.77050781	0.019650653
0.11494383	6480.9346	0.78027344	0.019936109
0.11750534	6570.4795	0.79003906	0.020288026
0.1190789	6659.0479	0.79980469	0.02063369
0.1207374	6743.5918	0.80957031	0.020921195
0.12294352	6828.1016	0.81933594	0.021316186
0.12506023	6910.1372	0.82910156	0.021579484
0.12592301	6991.478	0.83886719	0.021892888
0.1283884	7074.3516	0.84863281	0.022233948
0.12915954	7151.7129	0.85839844	0.022535758
0.13103038	7230.9907	0.86816406	0.022942809
0.13333932	7307.2593	0.87792969	0.023140365
0.13574213	7385.9014	0.88769531	0.023547364
0.13660491	7456.6792	0.89746094	0.023838773
0.13964921	7537.3438	0.90722656	0.024092972
0.14000908	7604.8291	0.91699219	0.02441626
0.14160946	7680.2114	0.92675781	0.024693083
0.14322102	7746.6729	0.93652344	0.024981439
0.14527291	7824.4097	0.94628906	0.025213812
0.14636591	7891.8921	0.95605469	0.025566807
0.14846921	7960.0723	0.96582031	0.025776314
0.15040711	8032.2085	0.97558594	0.026105065
0.15207902	8100.0415	0.98535156	0.026396951
0.15337542	8165.5571	0.99511719	0.026632629
0.15411973	8235.7764	1.0048828	0.026995035
0.15561283	8298.7969	1.0146484	0.027270837
0.15713274	8364.2266	1.0244141	0.027530374
0.15870854	8429.0908	1.0341797	0.027776686
0.16030893	8494.8633	1.0439453	0.028099263
0.16223118	8557.2617	1.0537109	0.028330529
0.16325489	8626.3623	1.0634766	0.028638529
0.16501173	8688.0566	1.0732422	0.028930377
0.16694292	8752.9102	1.0830078	0.029186515
0.16781688	8813.9619	1.0927734	0.029546369
0.17047673	8881.0332	1.1025391	0.029742945
0.1725398	8942.752	1.1123047	0.02990976
0.17293319	9002.1299	1.1220703	0.030308736
0.17540529	9059.0859	1.1318359	0.03059257
0.17617196	9118.5488	1.1416016	0.030947771
0.17810091	9170.7295	1.1513672	0.031092826
0.17894357	9228.0605	1.1611328	0.031434271
0.18076524	9278.2529	1.1708984	0.031693757
0.18195659	9338.0107	1.1806641	0.031906959
0.18439069	9386.1123	1.1904297	0.032167379
0.18462539	9449.8184	1.2001953	0.032472327
0.1869075	9503.5938	1.2099609	0.032699872
0.18737242	9562.5762	1.2197266	0.033063341
0.18960536	9621.5205	1.2294922	0.033347242
0.19033626	9679.3379	1.2392578	0.033620659
0.19269884	9732.792	1.2490234	0.033855487
0.19464567	9799.9238	1.2587891	0.034250725
0.19668192	9863.4111	1.2685547	0.034462757
0.19833148	9928.9443	1.2783203	0.03491265
0.19925237	9991.3086	1.2880859	0.035166211
0.20131096	10059.359	1.2978516	0.035581291
0.20254701	10117.753	1.3076172	0.035848305
0.20422563	10182.791	1.3173828	0.036126122
0.20709559	10241.591	1.3271484	0.036472164
0.20834282	10304.952	1.3369141	0.036853295
0.20977333	10367.678	1.3466797	0.037196297
0.21140501	10428.459	1.3564453	0.037447277
0.21283776	10486.023	1.3662109	0.037859384
0.21505728	10547.514	1.3759766	0.038202353
0.2169773	10604.926	1.3857422	0.038641956
0.21903813	10665.888	1.3955078	0.03902223
0.22142082	10719.847	1.4052734	0.0392939
0.2229251	10782.814	1.4150391	0.039629333
0.22440478	10833.193	1.4248047	0.039936159
0.22633597	10889.009	1.4345703	0.04034951
0.22811517	10940.66	1.4443359	0.040754341
0.23031682	10996.705	1.4541016	0.040995158
0.23188815	11049.516	1.4638672	0.041476145
0.23264587	11102.476	1.4736328	0.041815292
0.23505092	11150.447	1.4833984	0.042092994
0.23715198	11201.696	1.4931641	0.042533562
0.23924634	11249.797	1.5029297	0.042818233
0.24002418	11302.004	1.5126953	0.043087646
0.24237335	11344.876	1.5224609	0.043521967
0.24382398	11391.506	1.5322266	0.043860268
0.24488568	11432.379	1.5419922	0.044257924
0.24705157	11482.949	1.5517578	0.044609416
0.24821833	11521.848	1.5615234	0.044956874
0.2500914	11566.908	1.5712891	0.045252346
0.25182366	11603.404	1.5810547	0.045652606
0.25343746	11643.298	1.5908203	0.046019524
0.25553182	11680.17	1.6005859	0.046316594
0.25643259	11721.729	1.6103516	0.046665568
0.25870577	11761.833	1.6201172	0.047083627
0.26032627	11803.247	1.6298828	0.047399476
0.26200041	11845.178	1.6396484	0.047890112
