MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.009766	s	2/4/2020 10:25:12 AM
Axial Displacement	Axial Force	Time	Axial Extensometer
mm	N	s	mm
-0.00062808394	305.81723	0.018554688	-1.8230639e-05
-0.00087171793	307.86826	0.028320313	-2.1513551e-05
-0.0002771616	304.32733	0.038085938	6.0837192e-05
-0.0016763806	305.96902	0.047851563	0.00010237272
-0.00042468309	304.04514	0.057617188	2.4790643e-05
-0.0011019409	308.98981	0.067382813	0.00011031952
-0.00076442957	313.38425	0.077148438	2.9505463e-05
0.00048056245	316.39215	0.086914063	8.5921783e-05
0.00029280782	320.69742	0.096679688	0.00010118238
0.0014953315	338.19467	0.10644531	0.00011653756
0.00076889992	383.6362	0.11621094	0.00025427871
0.0022172928	460.90085	0.12597656	0.00046862115
0.0033169985	552.34906	0.13574219	0.00084093626
0.0060237944	661.8761	0.14550781	0.001135956
0.0075146556	783.35565	0.15527344	0.0014600998
0.010574609	908.09302	0.16503906	0.0018828737
0.012436509	1030.8494	0.17480469	0.0022782916
0.01482144	1153.8668	0.18457031	0.0026360489
0.016893446	1268.4081	0.19433594	0.0030600058
0.018587708	1388.4176	0.20410156	0.0033245757
0.021399558	1501.8861	0.21386719	0.0037925174
0.023429096	1615.2314	0.22363281	0.0040313471
0.024792552	1713.658	0.23339844	0.0043364484
0.027479231	1812.2338	0.24316406	0.0048168111
0.030324608	1912.8035	0.25292969	0.0050628297
0.030306727	2010.6392	0.26269531	0.0053988928
0.032372028	2096.0339	0.27246094	0.0055898391
0.033972412	2192.4768	0.28222656	0.0059817829
0.035912544	2281.8845	0.29199219	0.0062165959
0.037372112	2370.4021	0.30175781	0.0065642232
0.038827211	2459.707	0.31152344	0.0067339912
0.040715933	2536.4202	0.32128906	0.0070513235
0.043243915	2624.3928	0.33105469	0.0073083001
0.043071806	2712.0823	0.34082031	0.0075397794
0.044886768	2792.6636	0.35058594	0.0078779021
0.045970827	2871.6802	0.36035156	0.0080655264
0.048141181	2949.6987	0.37011719	0.0082988506
0.049839914	3032.3201	0.37988281	0.0086202398
0.051299483	3107.5918	0.38964844	0.0087859873
0.051983446	3182.1199	0.39941406	0.0090455059
0.053753704	3264.2065	0.40917969	0.0092313411
0.055269152	3337.428	0.41894531	0.0095293866
0.057274103	3411.5747	0.42871094	0.0098741204
0.058293343	3489.5286	0.43847656	0.0099687334
0.060251355	3565.5925	0.44824219	0.010286829
0.061362237	3647.9385	0.45800781	0.010590978
0.063356012	3722.3264	0.46777344	0.010812331
0.064303726	3799.5542	0.47753906	0.011015597
0.067057461	3882.3013	0.48730469	0.011283771
0.067786127	3960.9951	0.49707031	0.011555773
0.068718195	4040.2888	0.50683594	0.011811991
0.070884079	4123.1665	0.51660156	0.012095467
0.073231012	4201.9219	0.52636719	0.012281227
0.07437095	4283.0806	0.53613281	0.012544939
0.076018274	4363.5068	0.54589844	0.012776293
0.077833235	4444.1387	0.55566406	0.013066504
0.078394264	4523.874	0.56542969	0.013335333
0.080765784	4603.0044	0.57519531	0.013565978
0.081393868	4678.0054	0.58496094	0.013831483
0.083045661	4755.9858	0.59472656	0.014027888
0.084393471	4837.8604	0.60449219	0.014374787
0.086610764	4908.0439	0.61425781	0.014608026
0.087676942	4984.377	0.62402344	0.014772651
0.088175386	5058.9531	0.63378906	0.01509627
0.091914833	5142.8789	0.64355469	0.015340727
0.092149526	5220.4834	0.65332031	0.015560426
0.094138831	5300.4219	0.66308594	0.015830142
0.095616281	5380.8872	0.67285156	0.016115837
0.097154081	5465.0688	0.68261719	0.016310129
0.099116564	5550.4058	0.69238281	0.016593134
0.10151491	5639.5532	0.70214844	0.016917037
0.1019977	5730.2759	0.71191406	0.017137347
0.10497048	5817.1699	0.72167969	0.017408608
0.10569021	5903.8198	0.73144531	0.017753368
0.10771528	5996.2217	0.74121094	0.018080298
0.10972247	6096.2407	0.75097656	0.018317254
0.11138543	6195.5283	0.76074219	0.018816859
0.11358485	6295.8105	0.77050781	0.019057021
0.1153551	6396.873	0.78027344	0.019327912
0.11758581	6490.2646	0.79003906	0.019711284
0.11834577	6586.2788	0.79980469	0.019947834
0.12118891	6684.1807	0.80957031	0.020299142
0.12308657	6771.9492	0.81933594	0.020615082
0.12556985	6857.1011	0.82910156	0.020826638
0.12673885	6946.2026	0.83886719	0.021084612
0.1285851	7026.5127	0.84863281	0.021448171
0.1301989	7115.4648	0.85839844	0.021649307
0.13222173	7196.728	0.86816406	0.021963006
0.13414398	7280.2969	0.87792969	0.022275729
0.13556108	7360.6577	0.88769531	0.022568986
0.13573989	7439.4414	0.89746094	0.02279184
0.13854951	7515.4888	0.90722656	0.022984205
0.14000908	7596.7729	0.91699219	0.023301622
0.14051199	7665.9019	0.92675781	0.023524126
0.1440078	7752.0127	0.93652344	0.023796473
0.14441907	7821.2881	0.94628906	0.02405607
0.14652461	7899.7002	0.95605469	0.024228889
0.14827028	7973.0454	0.96582031	0.024494043
0.14927834	8048.4429	0.97558594	0.024652386
0.15089437	8119.0205	0.98535156	0.024915669
0.1519762	8198.5156	0.99511719	0.025177175
0.1548104	8262.9766	1.0048828	0.02540837
0.15606433	8343.5322	1.0146484	0.025617244
0.15737191	8412.333	1.0244141	0.025920682
0.15972555	8490.0713	1.0341797	0.026280513
0.16157404	8564.8232	1.0439453	0.026393607
0.16220659	8635.5605	1.0537109	0.02672893
0.16280115	8708.8701	1.0634766	0.026863951
0.16503632	8783.7939	1.0732422	0.027157139
0.1678057	8849.6211	1.0830078	0.027381526
0.16811192	8928.9385	1.0927734	0.027600719
0.16868189	9003.875	1.1025391	0.027878882
0.1711987	9076.1484	1.1123047	0.028156843
0.17292202	9151.8018	1.1220703	0.028278854
0.17389655	9227.7021	1.1318359	0.028526947
0.17648265	9297.1953	1.1416016	0.028840939
0.17709285	9376.8379	1.1513672	0.029113429
0.17899498	9450.6846	1.1611328	0.029369622
0.18102005	9530.4795	1.1708984	0.029642396
0.181932	9606.1973	1.1806641	0.02986531
0.18401518	9686.8418	1.1904297	0.030098805
0.18554404	9760.6865	1.2001953	0.030428687
0.18643141	9838.2471	1.2099609	0.030607268
0.18781722	9913.2695	1.2197266	0.030929191
0.19104257	9999.2334	1.2294922	0.031135606
0.19119903	10065.697	1.2392578	0.031382009
0.19396842	10155.376	1.2490234	0.031578209
0.19508153	10227.396	1.2587891	0.031926416
0.19696802	10311.376	1.2685547	0.03216137
0.19882992	10386.253	1.2783203	0.032455832
0.19936189	10470.651	1.2880859	0.032671802
0.20117909	10546.601	1.2978516	0.032973111
0.20354167	10628.916	1.3076172	0.033239365
0.20567626	10711.089	1.3173828	0.033457797
0.20785108	10797.791	1.3271484	0.033764478
0.20857528	10879.798	1.3369141	0.034022994
0.21099597	10969.496	1.3466797	0.034363266
0.21338761	11049.651	1.3564453	0.03459432
0.21473765	11137.327	1.3662109	0.034864016
0.21641403	11216.579	1.3759766	0.035238951
0.21796972	11304.637	1.3857422	0.035460345
0.21990761	11384.252	1.3955078	0.035720751
0.22143424	11470.123	1.4052734	0.036072735
0.22406727	11551.691	1.4150391	0.036309417
0.22558719	11632.684	1.4248047	0.036683567
0.22661313	11711.403	1.4345703	0.036728598
0.2288796	11795.106	1.4443359	0.037067752
0.23002625	11868.342	1.4541016	0.037441049
0.23216531	11953.927	1.4638672	0.037662324
0.23383498	12028.961	1.4736328	0.037902091
0.23657531	12110.673	1.4833984	0.038128193
0.23732856	12186.132	1.4931641	0.038449608
0.23849979	12261.677	1.5029297	0.038669515
0.24093613	12338.182	1.5126953	0.038922548
0.24115518	12413.462	1.5224609	0.039159849
0.24459288	12482.111	1.5322266	0.039416552
0.24546459	12555.518	1.5419922	0.039660104
0.24790317	12624.13	1.5517578	0.040002186
0.24792328	12702.5	1.5615234	0.040297173
0.2502948	12770.979	1.5712891	0.04046119
0.25185272	12842.866	1.5810547	0.040667601
0.25304183	12910.823	1.5908203	0.040893961
0.25529489	12986.515	1.6005859	0.041180808
0.25603026	13051.921	1.6103516	0.041331809
0.25728419	13127.343	1.6201172	0.041621558
0.26091635	13194.353	1.6298828	0.041882947
0.26092306	13268.505	1.6396484	0.042098653
0.26197359	13336.821	1.6494141	0.042356621
0.26490837	13411.395	1.6591797	0.042627975
0.26645064	13482.349	1.6689453	0.042863354
0.26759505	13554.78	1.6787109	0.043096986
0.26929379	13623.43	1.6884766	0.043390781
0.26999786	13696.838	1.6982422	0.043638378
0.27204752	13765.47	1.7080078	0.043867473
0.27406588	13842.628	1.7177734	0.044092536
0.2746515	13920.914	1.7275391	0.044372074
0.27834177	13997.925	1.7373047	0.044672374
0.27881786	14072.38	1.7470703	0.044845618
0.28078705	14149.96	1.7568359	0.045161687
0.28390959	14219.991	1.7666016	0.045492653
0.28366148	14303.753	1.7763672	0.045662541
0.28555691	14371.941	1.7861328	0.045910675
0.28698295	14451.246	1.7958984	0.046207756
0.28835312	14526.037	1.8056641	0.046464376
0.29074475	14603.516	1.8154297	0.046676099
0.29275417	14675.675	1.8251953	0.047041912
0.29506758	14750.321	1.8349609	0.047261134
0.29432997	14820.754	1.8447266	0.047543444
0.29667467	14890.967	1.8544922	0.047798321
0.29937029	14961.799	1.8642578	0.048024867
0.29980391	15033.848	1.8740234	0.0481865
0.30161887	15105.182	1.8837891	0.048461836
0.30356124	15173.418	1.8935547	0.048720621
0.3044419	15243.552	1.9033203	0.048883881
0.30647591	15314.923	1.9130859	0.049258135
0.30766279	15378.374	1.9228516	0.049394634
0.30914694	15456.448	1.9326172	0.049680676
0.31167045	15521.5	1.9423828	0.049928289
0.31367093	15601.933	1.9521484	0.050191782
0.31429231	15677.732	1.9619141	0.050501619
0.31595975	15751.992	1.9716797	0.050710559
0.31825304	15829.093	1.9814453	0.050909963
0.3198579	15904.139	1.9912109	0.05128457
0.32135993	15975.559	2.0009766	0.051535979
0.3229402	16051.226	2.0107422	0.051751371
0.32536983	16128.492	2.0205078	0.05197477
0.32699928	16201.252	2.0302734	0.05231325
0.32806993	16277.401	2.0400391	0.052514613
0.32952726	16353.251	2.0498047	0.052973833
0.33247769	16428.928	2.0595703	0.053092264
0.33346117	16506.48	2.0693359	0.053362228
0.3354013	16579.621	2.0791016	0.053698845
0.33699498	16662.979	2.0888672	0.05397727
0.3385216	16735.682	2.0986328	0.054238487
0.34060702	16814.182	2.1083984	0.054474264
0.34181401	16890.08	2.1181641	0.054741099
0.34467056	16965.912	2.1279297	0.055036325
0.34524947	17035.773	2.1376953	0.055225402
0.34654811	17105.973	2.1474609	0.055606917
0.34900233	17176.006	2.1572266	0.055739343
0.35043508	17248.512	2.1669922	0.056018468
0.35161078	17312.363	2.1767578	0.056285858
0.35409182	17376.1	2.1865234	0.056504164
0.35476238	17444.145	2.1962891	0.056720618
