MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.009766	s	2/4/2020 10:04:19 AM
Axial Displacement	Axial Force	Time	Axial Extensometer
mm	N	s	mm
0.00055879354	380.77731	0.018554688	-3.7902282e-05
0.00086948276	377.11673	0.028320313	-3.2497701e-05
0.00056773424	375.70273	0.038085938	-0.00013720492
0.00029504299	378.2576	0.047851563	-4.9338269e-06
0.0010035932	376.36539	0.057617188	-4.0794112e-05
0.0011242926	384.24158	0.067382813	-4.4695116e-05
0.0011377037	379.85156	0.077148438	-6.1047467e-05
0.0013165176	395.78973	0.086914063	4.091271e-06
0.0016786158	418.14429	0.096679688	5.2387986e-05
0.0024721026	452.14478	0.10644531	8.3759005e-05
0.0031895936	491.11316	0.11621094	0.00030617701
0.0028587878	551.87964	0.12597656	0.00044206792
0.0052571297	636.56085	0.13574219	0.00063984515
0.0072531402	746.59961	0.14550781	0.00096164987
0.009161979	861.66638	0.15527344	0.0012537607
0.010769069	985.05664	0.16503906	0.0016640694
0.012295693	1096.0078	0.17480469	0.0020839963
0.015773624	1219.1664	0.18457031	0.0023804363
0.016701221	1333.7142	0.19433594	0.0027169974
0.017686933	1455.755	0.20410156	0.0031483043
0.021214038	1565.1982	0.21386719	0.0035117019
0.023055822	1671.3313	0.22363281	0.0037686282
0.025078654	1774.0822	0.23339844	0.004143293
0.026553869	1868.5497	0.24316406	0.0044177785
0.028020144	1962.703	0.25292969	0.0047211265
0.029718876	2054.9355	0.26269531	0.0049559465
0.031178445	2149.5833	0.27246094	0.0052500628
0.034012645	2242.7124	0.28222656	0.0056283139
0.033536553	2336.4746	0.29199219	0.0058132522
0.036598742	2431.801	0.30175781	0.0061153909
0.038031489	2522.2786	0.31152344	0.0064984863
0.039707869	2615.9292	0.32128906	0.0067137592
0.040981919	2704.5559	0.33105469	0.0070170281
0.043069571	2794.3323	0.34082031	0.0072812345
0.044520199	2877.7844	0.35058594	0.007615807
0.046084821	2961.3623	0.36035156	0.0078703593
0.047870725	3039.4104	0.37011719	0.0081583662
0.048755854	3132.9067	0.37988281	0.0084819123
0.05017966	3210.252	0.38964844	0.0086931055
0.051619112	3293.4761	0.39941406	0.0089345444
0.052848458	3371.4888	0.40917969	0.0091991527
0.055099279	3460.4729	0.41894531	0.0095471181
0.056988001	3537.5952	0.42871094	0.0097766165
0.058478862	3623.3711	0.43847656	0.010052682
0.059448928	3703.9124	0.44824219	0.0103873
0.061554462	3791.7905	0.45800781	0.010567012
0.062922388	3872.4746	0.46777344	0.010942657
0.064527243	3963.8296	0.47753906	0.011178911
0.065767765	4045.9385	0.48730469	0.011484846
0.067515671	4126.5884	0.49707031	0.011651569
0.068928301	4205.5542	0.50683594	0.011967277
0.069855899	4285.0781	0.51660156	0.012324768
0.07199496	4361.6846	0.52636719	0.012535846
0.073186308	4445.5581	0.53613281	0.012760399
0.07539019	4520.0132	0.54589844	0.013050923
0.076907873	4604.6514	0.55566406	0.013305759
0.077822059	4673.1475	0.56542969	0.013583412
0.079654902	4755.418	0.57519531	0.01384715
0.081375986	4828.8857	0.58496094	0.014128787
0.082705915	4922.3174	0.59472656	0.014450099
0.085260719	5007.5347	0.60449219	0.01467614
0.086347014	5093.1021	0.61425781	0.01498509
0.088016689	5182.9688	0.62402344	0.01538435
0.090220571	5274.7612	0.63378906	0.015641144
0.091516972	5358.3848	0.64355469	0.015965763
0.093743205	5451.2144	0.65332031	0.016248213
0.094999373	5528.5371	0.66308594	0.016536187
0.096461177	5618.9116	0.67285156	0.016929075
0.09926185	5697.105	0.68261719	0.017121866
0.10104999	5783.3203	0.69238281	0.017497275
0.10195524	5853.5864	0.70214844	0.017764676
0.10378361	5939.5024	0.71191406	0.018025037
0.10508671	6011.8555	0.72167969	0.018340794
0.10695085	6093.4917	0.73144531	0.01873409
0.10857806	6163.9536	0.74121094	0.01887149
0.10998398	6244.8047	0.75097656	0.019150607
0.11170283	6326.0225	0.76074219	0.019580616
0.11340156	6410.2842	0.77050781	0.019834653
0.11519417	6481.5967	0.78027344	0.020116081
0.11662245	6559.6797	0.79003906	0.020490823
0.11809766	6633.0337	0.79980469	0.020698387
0.11983439	6722.5303	0.80957031	0.021042928
0.12237579	6811.4165	0.81933594	0.021315513
0.12408793	6895.3486	0.82910156	0.021639757
0.12572631	6975.042	0.83886719	0.021999441
0.1279749	7068.7847	0.84863281	0.022293935
0.12887791	7151.2358	0.85839844	0.022610983
0.13057217	7240.23	0.86816406	0.023014456
0.13320521	7319.7993	0.87792969	0.023336906
0.13436526	7405.5332	0.88769531	0.023643015
0.13634562	7487.5493	0.89746094	0.02401668
0.13863444	7568.9585	0.90722656	0.024247885
0.14001578	7638.7832	0.91699219	0.024715589
0.1420632	7718.6187	0.92675781	0.02492304
0.14407933	7784.1338	0.93652344	0.025282469
0.14628544	7855.8481	0.94628906	0.025624074
0.14767572	7921.0913	0.95605469	0.025800286
0.14806241	7993.9658	0.96582031	0.026212525
0.15060827	8059.4912	0.97558594	0.026462942
0.15190467	8132.2671	0.98535156	0.026808403
0.15376881	8200.5244	0.99511719	0.02706953
0.15543848	8268.7471	1.0048828	0.027408699
0.15681982	8332.5107	1.0146484	0.027629625
0.15893653	8401.6738	1.0244141	0.027957488
0.1606375	8462.293	1.0341797	0.028305493
0.16277432	8527.8535	1.0439453	0.028548073
0.16350299	8591.3711	1.0537109	0.028832067
0.16465634	8662.3555	1.0634766	0.02911084
0.16708821	8725.4795	1.0732422	0.02948552
0.16811192	8792.873	1.0830078	0.029816054
0.1697816	8845.083	1.0927734	0.030008117
0.1713708	8914.8652	1.1025391	0.030352769
0.17273426	8970.7148	1.1123047	0.030630231
0.17435476	9039.167	1.1220703	0.030910235
0.1755394	9099.042	1.1318359	0.031194158
0.17714649	9161.4785	1.1416016	0.0316514
0.18017516	9217.0303	1.1513672	0.031814493
0.18133298	9277.5391	1.1611328	0.032105036
0.18158108	9330.3018	1.1708984	0.032425668
0.18357038	9389.0879	1.1806641	0.032738991
0.18652081	9445.042	1.1904297	0.032998856
0.18741935	9501.8232	1.2001953	0.033373255
0.18829554	9557.6064	1.2099609	0.03364224
0.19081011	9611.0234	1.2197266	0.033905894
0.19263178	9664.6289	1.2294922	0.034205154
0.19308105	9722.9893	1.2392578	0.0344074
0.19446462	9776.7588	1.2490234	0.034819856
0.19652769	9834.6807	1.2587891	0.035068136
0.19847006	9890.6465	1.2685547	0.035375457
0.20021573	9947.0947	1.2783203	0.035729028
0.20148531	9995.8779	1.2880859	0.036064744
0.20260289	10054.227	1.2978516	0.036351603
0.20425022	10100.98	1.3076172	0.036710378
0.2050437	10161.309	1.3173828	0.037031554
0.20837635	10217.135	1.3271484	0.037244674
0.20922571	10281.007	1.3369141	0.037636593
0.21124184	10337.48	1.3466797	0.038071819
0.21336973	10394.091	1.3564453	0.038339343
0.21558702	10445.018	1.3662109	0.038644224
0.21637604	10504.376	1.3759766	0.039043657
0.21747127	10559.725	1.3857422	0.039375495
0.22020042	10613.798	1.3955078	0.0396601
0.2216734	10664.221	1.4052734	0.040065233
0.22328496	10716.546	1.4150391	0.040389355
0.22486746	10770.829	1.4248047	0.040698081
0.22627115	10820.982	1.4345703	0.041008882
0.22833869	10868.919	1.4443359	0.04142509
0.23016706	10922.882	1.4541016	0.041752025
0.23214966	10968.876	1.4638672	0.042124681
0.23333207	11016.742	1.4736328	0.042504847
0.23573041	11065.263	1.4833984	0.04278123
0.23636073	11110.629	1.4931641	0.043155469
0.23885295	11154.167	1.5029297	0.043482803
0.24092719	11201.141	1.5126953	0.043878399
0.24282262	11249.287	1.5224609	0.044174451
0.24329424	11293.527	1.5322266	0.0445778
0.24508461	11338.189	1.5419922	0.04488897
0.24708733	11381.592	1.5517578	0.045248512
0.24989918	11428.054	1.5615234	0.045571785
0.25059208	11470.313	1.5712891	0.04597985
